Population,MortalityRate,NatalityRate,GDP,GDP_PC
59562,,,500000000.0,8395.31877025371
59107,,,493000000.0,8340.52343974691
58365,,,518000000.0,8874.87792759607
57492,,,560000000.0,9740.82449121586
56683,,,675000000.0,11910.013233348
56079,,,573000000.0,10216.8176306968
55759,,,570000000.0,10223.2983588916
55667,,,640000000.0,11496.5240977923
55713,,,638000000.0,11450.7241954879
55791,,,643000000.0,11525.1563872309
55812,,,673000000.0,12059.6351646776
55741,,,671000000.0,12038.2496994923
55620,,,612000000.0,11003.8297642807
13411,,,,
14375,,,,
15370,,,,
16412,,,,
17469,,,,
18549,,,,
19647,,,,
20758,,,,
21890,,,,
23058,,,,
24276,,,78619206.0850963,3238.69026097204
25559,,,89409820.3592814,3496.5320229667
26892,,,113408231.944085,4218.27159918486
28232,,,150820102.798401,5342.16856044208
29520,,,186558696.279204,6320.80963168572
30705,,,220127246.376812,7169.10100559556
31777,,,227281024.620741,7151.24990940599
32771,,,254020153.340635,7751.84330741357
33737,,,308008897.569444,9127.81227979624
34818,,,411578334.159643,11818.4733427033
36067,,,446416105.825017,12378.7845111338
37500,,,388958731.302938,10372.786050001
39114,,,375895956.383462,9610.02061570912
40867,,,327861832.946636,8025.20764054036
42706,,,330070689.298282,7728.90669456943
44600,,,346737964.774951,7775.61421691636
46517,,,482000594.03588,10361.1477651737
48455,,,611316399.407088,12615.1261769143
50434,,,721425939.15155,14304.6405954742
52448,,,795449332.396346,15165.2812551732
54509,0.11007558523519483,,1029048481.88051,18878.8523130643
56671,0.07058906575371475,,1106928582.86629,19534.2636301538
58888,0.067932475119731,,1210013651.87713,20549.8055751695
60971,0.06560173188572178,,1007025755.00065,16515.6583953924
62677,0.03191014104282341,,1017549124.33238,16235.0680377239
63850,0.06263701847792046,,1178738991.19295,18458.1739929996
64360,0.06214750710812113,,1223945356.62682,19016.2881877293
64327,0.03109549426288131,,1180597272.72727,18355.6278604321
64142,0.031181789834736514,,1211932397.81713,18895.110661321
64370,0.031071339796172014,,1239876305.13531,19262.3089910407
65390,0.0,,1429049198.45218,21854.2468030614
67341,0.0,,1546926174.49664,22970.5122133619
70049,0.0,,1755910031.99699,25067.2400639132
73182,0.027329871549603715,,2361726862.30248,32272.8458909877
76244,0.02622950819672131,,2894921777.99851,37966.1872524395
78867,0.025357862839319904,,3159905484.39249,40064.2249292197
80993,0.024692882276683745,,3456442102.622,42674.7589681092
82684,0.0,,3952600602.24473,47804.8499340211
83862,0.0,,4085630584.44412,48719.6587699036
84463,0.0,,3674409558.21061,43504.2156523202
84449,0.023681530774149244,,3449966856.68832,40850.2481432297
83747,0.0,,3629203786.19154,43334.8114127088
82427,0.0,,3188808942.56713,38686.4612635075
80774,0.0,,3193704343.20627,39540.7248137461
79213,0.02524838094757174,,3271808157.30038,41303.9293714464
78011,0.0,,2789870187.50693,35770.7767044085
77297,0.0,,2896679211.86628,37475.6350587526
77001,0.0,,3000180750.11297,38964.904478265
5454933,,6.71,,
5531472,,6.79,,
